D_mnpio,d_estado,concatenadomnpioestado
Álvaro Obregón,Ciudad de México,"Álvaro Obregón , Ciudad de México"
Azcapotzalco,Ciudad de México,"Azcapotzalco , Ciudad de México"
Benito Juárez,Ciudad de México,"Benito Juárez , Ciudad de México"
Coyoacán,Ciudad de México,"Coyoacán , Ciudad de México"
Cuajimalpa de Morelos,Ciudad de México,"Cuajimalpa de Morelos , Ciudad de México"
Cuauhtémoc,Ciudad de México,"Cuauhtémoc , Ciudad de México"
Gustavo A. Madero,Ciudad de México,"Gustavo A. Madero , Ciudad de México"
Iztacalco,Ciudad de México,"Iztacalco , Ciudad de México"
Iztapalapa,Ciudad de México,"Iztapalapa , Ciudad de México"
La Magdalena Contreras,Ciudad de México,"La Magdalena Contreras , Ciudad de México"
Miguel Hidalgo,Ciudad de México,"Miguel Hidalgo , Ciudad de México"
Milpa Alta,Ciudad de México,"Milpa Alta , Ciudad de México"
Tláhuac,Ciudad de México,"Tláhuac , Ciudad de México"
Tlalpan,Ciudad de México,"Tlalpan , Ciudad de México"
Venustiano Carranza,Ciudad de México,"Venustiano Carranza , Ciudad de México"
Xochimilco,Ciudad de México,"Xochimilco , Ciudad de México"
Aguascalientes,Aguascalientes,"Aguascalientes , Aguascalientes"
San Francisco de los Romo,Aguascalientes,"San Francisco de los Romo , Aguascalientes"
El Llano,Aguascalientes,"El Llano , Aguascalientes"
Rincón de Romos,Aguascalientes,"Rincón de Romos , Aguascalientes"
Cosío,Aguascalientes,"Cosío , Aguascalientes"
San José de Gracia,Aguascalientes,"San José de Gracia , Aguascalientes"
Tepezalá,Aguascalientes,"Tepezalá , Aguascalientes"
Pabellón de Arteaga,Aguascalientes,"Pabellón de Arteaga , Aguascalientes"
Asientos,Aguascalientes,"Asientos , Aguascalientes"
Calvillo,Aguascalientes,"Calvillo , Aguascalientes"
Jesús María,Aguascalientes,"Jesús María , Aguascalientes"
Mexicali,Baja California,"Mexicali , Baja California"
Tecate,Baja California,"Tecate , Baja California"
Tijuana,Baja California,"Tijuana , Baja California"
Playas de Rosarito,Baja California,"Playas de Rosarito , Baja California"
Ensenada,Baja California,"Ensenada , Baja California"
La Paz,Baja California Sur,"La Paz , Baja California Sur"
Los Cabos,Baja California Sur,"Los Cabos , Baja California Sur"
Comondú,Baja California Sur,"Comondú , Baja California Sur"
Loreto,Baja California Sur,"Loreto , Baja California Sur"
Mulegé,Baja California Sur,"Mulegé , Baja California Sur"
Campeche,Campeche,"Campeche , Campeche"
Carmen,Campeche,"Carmen , Campeche"
Palizada,Campeche,"Palizada , Campeche"
Candelaria,Campeche,"Candelaria , Campeche"
Escárcega,Campeche,"Escárcega , Campeche"
Champotón,Campeche,"Champotón , Campeche"
Seybaplaya,Campeche,"Seybaplaya , Campeche"
Hopelchén,Campeche,"Hopelchén , Campeche"
Calakmul,Campeche,"Calakmul , Campeche"
Tenabo,Campeche,"Tenabo , Campeche"
Hecelchakán,Campeche,"Hecelchakán , Campeche"
Calkiní,Campeche,"Calkiní , Campeche"
Saltillo,Coahuila de Zaragoza,"Saltillo , Coahuila de Zaragoza"
Arteaga,Coahuila de Zaragoza,"Arteaga , Coahuila de Zaragoza"
Juárez,Coahuila de Zaragoza,"Juárez , Coahuila de Zaragoza"
Progreso,Coahuila de Zaragoza,"Progreso , Coahuila de Zaragoza"
Escobedo,Coahuila de Zaragoza,"Escobedo , Coahuila de Zaragoza"
San Buenaventura,Coahuila de Zaragoza,"San Buenaventura , Coahuila de Zaragoza"
Abasolo,Coahuila de Zaragoza,"Abasolo , Coahuila de Zaragoza"
Candela,Coahuila de Zaragoza,"Candela , Coahuila de Zaragoza"
Frontera,Coahuila de Zaragoza,"Frontera , Coahuila de Zaragoza"
Monclova,Coahuila de Zaragoza,"Monclova , Coahuila de Zaragoza"
Castaños,Coahuila de Zaragoza,"Castaños , Coahuila de Zaragoza"
Ramos Arizpe,Coahuila de Zaragoza,"Ramos Arizpe , Coahuila de Zaragoza"
General Cepeda,Coahuila de Zaragoza,"General Cepeda , Coahuila de Zaragoza"
Piedras Negras,Coahuila de Zaragoza,"Piedras Negras , Coahuila de Zaragoza"
Nava,Coahuila de Zaragoza,"Nava , Coahuila de Zaragoza"
Acuña,Coahuila de Zaragoza,"Acuña , Coahuila de Zaragoza"
Múzquiz,Coahuila de Zaragoza,"Múzquiz , Coahuila de Zaragoza"
Jiménez,Coahuila de Zaragoza,"Jiménez , Coahuila de Zaragoza"
Zaragoza,Coahuila de Zaragoza,"Zaragoza , Coahuila de Zaragoza"
Morelos,Coahuila de Zaragoza,"Morelos , Coahuila de Zaragoza"
Allende,Coahuila de Zaragoza,"Allende , Coahuila de Zaragoza"
Villa Unión,Coahuila de Zaragoza,"Villa Unión , Coahuila de Zaragoza"
Guerrero,Coahuila de Zaragoza,"Guerrero , Coahuila de Zaragoza"
Hidalgo,Coahuila de Zaragoza,"Hidalgo , Coahuila de Zaragoza"
Sabinas,Coahuila de Zaragoza,"Sabinas , Coahuila de Zaragoza"
San Juan de Sabinas,Coahuila de Zaragoza,"San Juan de Sabinas , Coahuila de Zaragoza"
Torreón,Coahuila de Zaragoza,"Torreón , Coahuila de Zaragoza"
Matamoros,Coahuila de Zaragoza,"Matamoros , Coahuila de Zaragoza"
Viesca,Coahuila de Zaragoza,"Viesca , Coahuila de Zaragoza"
Ocampo,Coahuila de Zaragoza,"Ocampo , Coahuila de Zaragoza"
Nadadores,Coahuila de Zaragoza,"Nadadores , Coahuila de Zaragoza"
Sierra Mojada,Coahuila de Zaragoza,"Sierra Mojada , Coahuila de Zaragoza"
Cuatro Ciénegas,Coahuila de Zaragoza,"Cuatro Ciénegas , Coahuila de Zaragoza"
Lamadrid,Coahuila de Zaragoza,"Lamadrid , Coahuila de Zaragoza"
Sacramento,Coahuila de Zaragoza,"Sacramento , Coahuila de Zaragoza"
San Pedro,Coahuila de Zaragoza,"San Pedro , Coahuila de Zaragoza"
Francisco I. Madero,Coahuila de Zaragoza,"Francisco I. Madero , Coahuila de Zaragoza"
Parras,Coahuila de Zaragoza,"Parras , Coahuila de Zaragoza"
Colima,Colima,"Colima , Colima"
Tecomán,Colima,"Tecomán , Colima"
Manzanillo,Colima,"Manzanillo , Colima"
Armería,Colima,"Armería , Colima"
Coquimatlán,Colima,"Coquimatlán , Colima"
Comala,Colima,"Comala , Colima"
Cuauhtémoc,Colima,"Cuauhtémoc , Colima"
Ixtlahuacán,Colima,"Ixtlahuacán , Colima"
Minatitlán,Colima,"Minatitlán , Colima"
Villa de Álvarez,Colima,"Villa de Álvarez , Colima"
Tuxtla Gutiérrez,Chiapas,"Tuxtla Gutiérrez , Chiapas"
San Fernando,Chiapas,"San Fernando , Chiapas"
Berriozábal,Chiapas,"Berriozábal , Chiapas"
Ocozocoautla de Espinosa,Chiapas,"Ocozocoautla de Espinosa , Chiapas"
Suchiapa,Chiapas,"Suchiapa , Chiapas"
Chiapa de Corzo,Chiapas,"Chiapa de Corzo , Chiapas"
Osumacinta,Chiapas,"Osumacinta , Chiapas"
San Cristóbal de las Casas,Chiapas,"San Cristóbal de las Casas , Chiapas"
Chamula,Chiapas,"Chamula , Chiapas"
Ixtapa,Chiapas,"Ixtapa , Chiapas"
Zinacantán,Chiapas,"Zinacantán , Chiapas"
Acala,Chiapas,"Acala , Chiapas"
Emiliano Zapata,Chiapas,"Emiliano Zapata , Chiapas"
Chiapilla,Chiapas,"Chiapilla , Chiapas"
San Lucas,Chiapas,"San Lucas , Chiapas"
Teopisca,Chiapas,"Teopisca , Chiapas"
Amatenango del Valle,Chiapas,"Amatenango del Valle , Chiapas"
Chanal,Chiapas,"Chanal , Chiapas"
Oxchuc,Chiapas,"Oxchuc , Chiapas"
Huixtán,Chiapas,"Huixtán , Chiapas"
Tenejapa,Chiapas,"Tenejapa , Chiapas"
Mitontic,Chiapas,"Mitontic , Chiapas"
Reforma,Chiapas,"Reforma , Chiapas"
Juárez,Chiapas,"Juárez , Chiapas"
Pichucalco,Chiapas,"Pichucalco , Chiapas"
Sunuapa,Chiapas,"Sunuapa , Chiapas"
Ostuacán,Chiapas,"Ostuacán , Chiapas"
Francisco León,Chiapas,"Francisco León , Chiapas"
Ixtacomitán,Chiapas,"Ixtacomitán , Chiapas"
Solosuchiapa,Chiapas,"Solosuchiapa , Chiapas"
Ixtapangajoya,Chiapas,"Ixtapangajoya , Chiapas"
Mezcalapa,Chiapas,"Mezcalapa , Chiapas"
Tecpatán,Chiapas,"Tecpatán , Chiapas"
Copainalá,Chiapas,"Copainalá , Chiapas"
Chicoasén,Chiapas,"Chicoasén , Chiapas"
Coapilla,Chiapas,"Coapilla , Chiapas"
Pantepec,Chiapas,"Pantepec , Chiapas"
Tapalapa,Chiapas,"Tapalapa , Chiapas"
Ocotepec,Chiapas,"Ocotepec , Chiapas"
Chapultenango,Chiapas,"Chapultenango , Chiapas"
Amatán,Chiapas,"Amatán , Chiapas"
Huitiupán,Chiapas,"Huitiupán , Chiapas"
Ixhuatán,Chiapas,"Ixhuatán , Chiapas"
Tapilula,Chiapas,"Tapilula , Chiapas"
Rayón,Chiapas,"Rayón , Chiapas"
Pueblo Nuevo Solistahuacán,Chiapas,"Pueblo Nuevo Solistahuacán , Chiapas"
Rincón Chamula San Pedro,Chiapas,"Rincón Chamula San Pedro , Chiapas"
Jitotol,Chiapas,"Jitotol , Chiapas"
Bochil,Chiapas,"Bochil , Chiapas"
Soyaló,Chiapas,"Soyaló , Chiapas"
San Juan Cancuc,Chiapas,"San Juan Cancuc , Chiapas"
Sabanilla,Chiapas,"Sabanilla , Chiapas"
Simojovel,Chiapas,"Simojovel , Chiapas"
San Andrés Duraznal,Chiapas,"San Andrés Duraznal , Chiapas"
El Bosque,Chiapas,"El Bosque , Chiapas"
Chalchihuitán,Chiapas,"Chalchihuitán , Chiapas"
Larráinzar,Chiapas,"Larráinzar , Chiapas"
Santiago el Pinar,Chiapas,"Santiago el Pinar , Chiapas"
Chenalhó,Chiapas,"Chenalhó , Chiapas"
Aldama,Chiapas,"Aldama , Chiapas"
Pantelhó,Chiapas,"Pantelhó , Chiapas"
Sitalá,Chiapas,"Sitalá , Chiapas"
Salto de Agua,Chiapas,"Salto de Agua , Chiapas"
Tila,Chiapas,"Tila , Chiapas"
Tumbalá,Chiapas,"Tumbalá , Chiapas"
Yajalón,Chiapas,"Yajalón , Chiapas"
Ocosingo,Chiapas,"Ocosingo , Chiapas"
Chilón,Chiapas,"Chilón , Chiapas"
Benemérito de las Américas,Chiapas,"Benemérito de las Américas , Chiapas"
Marqués de Comillas,Chiapas,"Marqués de Comillas , Chiapas"
Palenque,Chiapas,"Palenque , Chiapas"
La Libertad,Chiapas,"La Libertad , Chiapas"
Catazajá,Chiapas,"Catazajá , Chiapas"
Comitán de Domínguez,Chiapas,"Comitán de Domínguez , Chiapas"
Tzimol,Chiapas,"Tzimol , Chiapas"
Chicomuselo,Chiapas,"Chicomuselo , Chiapas"
Bella Vista,Chiapas,"Bella Vista , Chiapas"
Frontera Comalapa,Chiapas,"Frontera Comalapa , Chiapas"
La Trinitaria,Chiapas,"La Trinitaria , Chiapas"
La Independencia,Chiapas,"La Independencia , Chiapas"
Maravilla Tenejapa,Chiapas,"Maravilla Tenejapa , Chiapas"
Las Margaritas,Chiapas,"Las Margaritas , Chiapas"
Altamirano,Chiapas,"Altamirano , Chiapas"
Venustiano Carranza,Chiapas,"Venustiano Carranza , Chiapas"
Totolapa,Chiapas,"Totolapa , Chiapas"
Nicolás Ruíz,Chiapas,"Nicolás Ruíz , Chiapas"
Las Rosas,Chiapas,"Las Rosas , Chiapas"
La Concordia,Chiapas,"La Concordia , Chiapas"
Ángel Albino Corzo,Chiapas,"Ángel Albino Corzo , Chiapas"
Montecristo de Guerrero,Chiapas,"Montecristo de Guerrero , Chiapas"
Socoltenango,Chiapas,"Socoltenango , Chiapas"
Cintalapa,Chiapas,"Cintalapa , Chiapas"
Jiquipilas,Chiapas,"Jiquipilas , Chiapas"
Arriaga,Chiapas,"Arriaga , Chiapas"
Villaflores,Chiapas,"Villaflores , Chiapas"
Tonalá,Chiapas,"Tonalá , Chiapas"
Villa Corzo,Chiapas,"Villa Corzo , Chiapas"
El Parral,Chiapas,"El Parral , Chiapas"
Pijijiapan,Chiapas,"Pijijiapan , Chiapas"
Mapastepec,Chiapas,"Mapastepec , Chiapas"
Acapetahua,Chiapas,"Acapetahua , Chiapas"
Acacoyagua,Chiapas,"Acacoyagua , Chiapas"
Escuintla,Chiapas,"Escuintla , Chiapas"
Villa Comaltitlán,Chiapas,"Villa Comaltitlán , Chiapas"
Huixtla,Chiapas,"Huixtla , Chiapas"
Mazatán,Chiapas,"Mazatán , Chiapas"
Huehuetán,Chiapas,"Huehuetán , Chiapas"
Tuzantán,Chiapas,"Tuzantán , Chiapas"
Tapachula,Chiapas,"Tapachula , Chiapas"
Suchiate,Chiapas,"Suchiate , Chiapas"
Frontera Hidalgo,Chiapas,"Frontera Hidalgo , Chiapas"
Metapa,Chiapas,"Metapa , Chiapas"
Tuxtla Chico,Chiapas,"Tuxtla Chico , Chiapas"
Unión Juárez,Chiapas,"Unión Juárez , Chiapas"
Cacahoatán,Chiapas,"Cacahoatán , Chiapas"
Motozintla,Chiapas,"Motozintla , Chiapas"
Mazapa de Madero,Chiapas,"Mazapa de Madero , Chiapas"
Amatenango de la Frontera,Chiapas,"Amatenango de la Frontera , Chiapas"
Bejucal de Ocampo,Chiapas,"Bejucal de Ocampo , Chiapas"
La Grandeza,Chiapas,"La Grandeza , Chiapas"
El Porvenir,Chiapas,"El Porvenir , Chiapas"
Siltepec,Chiapas,"Siltepec , Chiapas"
Capitán Luis Ángel Vidal,Chiapas,"Capitán Luis Ángel Vidal , Chiapas"
Chihuahua,Chihuahua,"Chihuahua , Chihuahua"
Cuauhtémoc,Chihuahua,"Cuauhtémoc , Chihuahua"
Riva Palacio,Chihuahua,"Riva Palacio , Chihuahua"
Aquiles Serdán,Chihuahua,"Aquiles Serdán , Chihuahua"
Bachíniva,Chihuahua,"Bachíniva , Chihuahua"
Guerrero,Chihuahua,"Guerrero , Chihuahua"
Nuevo Casas Grandes,Chihuahua,"Nuevo Casas Grandes , Chihuahua"
Ascensión,Chihuahua,"Ascensión , Chihuahua"
Janos,Chihuahua,"Janos , Chihuahua"
Casas Grandes,Chihuahua,"Casas Grandes , Chihuahua"
Galeana,Chihuahua,"Galeana , Chihuahua"
Buenaventura,Chihuahua,"Buenaventura , Chihuahua"
Gómez Farías,Chihuahua,"Gómez Farías , Chihuahua"
Ignacio Zaragoza,Chihuahua,"Ignacio Zaragoza , Chihuahua"
Madera,Chihuahua,"Madera , Chihuahua"
Namiquipa,Chihuahua,"Namiquipa , Chihuahua"
Temósachic,Chihuahua,"Temósachic , Chihuahua"
Matachí,Chihuahua,"Matachí , Chihuahua"
Juárez,Chihuahua,"Juárez , Chihuahua"
Guadalupe,Chihuahua,"Guadalupe , Chihuahua"
Praxedis G. Guerrero,Chihuahua,"Praxedis G. Guerrero , Chihuahua"
Ahumada,Chihuahua,"Ahumada , Chihuahua"
Coyame del Sotol,Chihuahua,"Coyame del Sotol , Chihuahua"
Ojinaga,Chihuahua,"Ojinaga , Chihuahua"
Aldama,Chihuahua,"Aldama , Chihuahua"
Julimes,Chihuahua,"Julimes , Chihuahua"
Manuel Benavides,Chihuahua,"Manuel Benavides , Chihuahua"
Delicias,Chihuahua,"Delicias , Chihuahua"
Rosales,Chihuahua,"Rosales , Chihuahua"
Meoqui,Chihuahua,"Meoqui , Chihuahua"
Dr. Belisario Domínguez,Chihuahua,"Dr. Belisario Domínguez , Chihuahua"
Satevó,Chihuahua,"Satevó , Chihuahua"
San Francisco de Borja,Chihuahua,"San Francisco de Borja , Chihuahua"
Nonoava,Chihuahua,"Nonoava , Chihuahua"
Guachochi,Chihuahua,"Guachochi , Chihuahua"
Bocoyna,Chihuahua,"Bocoyna , Chihuahua"
Cusihuiriachi,Chihuahua,"Cusihuiriachi , Chihuahua"
Gran Morelos,Chihuahua,"Gran Morelos , Chihuahua"
Santa Isabel,Chihuahua,"Santa Isabel , Chihuahua"
Carichí,Chihuahua,"Carichí , Chihuahua"
Uruachi,Chihuahua,"Uruachi , Chihuahua"
Ocampo,Chihuahua,"Ocampo , Chihuahua"
Moris,Chihuahua,"Moris , Chihuahua"
Chínipas,Chihuahua,"Chínipas , Chihuahua"
Maguarichi,Chihuahua,"Maguarichi , Chihuahua"
Guazapares,Chihuahua,"Guazapares , Chihuahua"
Batopilas de Manuel Gómez Morín,Chihuahua,"Batopilas de Manuel Gómez Morín , Chihuahua"
Urique,Chihuahua,"Urique , Chihuahua"
Morelos,Chihuahua,"Morelos , Chihuahua"
Guadalupe y Calvo,Chihuahua,"Guadalupe y Calvo , Chihuahua"
San Francisco del Oro,Chihuahua,"San Francisco del Oro , Chihuahua"
Rosario,Chihuahua,"Rosario , Chihuahua"
Huejotitán,Chihuahua,"Huejotitán , Chihuahua"
El Tule,Chihuahua,"El Tule , Chihuahua"
Balleza,Chihuahua,"Balleza , Chihuahua"
Santa Bárbara,Chihuahua,"Santa Bárbara , Chihuahua"
Camargo,Chihuahua,"Camargo , Chihuahua"
Saucillo,Chihuahua,"Saucillo , Chihuahua"
Valle de Zaragoza,Chihuahua,"Valle de Zaragoza , Chihuahua"
La Cruz,Chihuahua,"La Cruz , Chihuahua"
San Francisco de Conchos,Chihuahua,"San Francisco de Conchos , Chihuahua"
Hidalgo del Parral,Chihuahua,"Hidalgo del Parral , Chihuahua"
Allende,Chihuahua,"Allende , Chihuahua"
López,Chihuahua,"López , Chihuahua"
Matamoros,Chihuahua,"Matamoros , Chihuahua"
Jiménez,Chihuahua,"Jiménez , Chihuahua"
Coronado,Chihuahua,"Coronado , Chihuahua"
Durango,Durango,"Durango , Durango"
Canatlán,Durango,"Canatlán , Durango"
Nuevo Ideal,Durango,"Nuevo Ideal , Durango"
Coneto de Comonfort,Durango,"Coneto de Comonfort , Durango"
San Juan del Río,Durango,"San Juan del Río , Durango"
Canelas,Durango,"Canelas , Durango"
Topia,Durango,"Topia , Durango"
Tamazula,Durango,"Tamazula , Durango"
Santiago Papasquiaro,Durango,"Santiago Papasquiaro , Durango"
Otáez,Durango,"Otáez , Durango"
San Dimas,Durango,"San Dimas , Durango"
Guadalupe Victoria,Durango,"Guadalupe Victoria , Durango"
Peñón Blanco,Durango,"Peñón Blanco , Durango"
Pánuco de Coronado,Durango,"Pánuco de Coronado , Durango"
Poanas,Durango,"Poanas , Durango"
Nombre de Dios,Durango,"Nombre de Dios , Durango"
Vicente Guerrero,Durango,"Vicente Guerrero , Durango"
Súchil,Durango,"Súchil , Durango"
Pueblo Nuevo,Durango,"Pueblo Nuevo , Durango"
Mezquital,Durango,"Mezquital , Durango"
Gómez Palacio,Durango,"Gómez Palacio , Durango"
Lerdo,Durango,"Lerdo , Durango"
Mapimí,Durango,"Mapimí , Durango"
Tlahualilo,Durango,"Tlahualilo , Durango"
Hidalgo,Durango,"Hidalgo , Durango"
Ocampo,Durango,"Ocampo , Durango"
Guanaceví,Durango,"Guanaceví , Durango"
San Bernardo,Durango,"San Bernardo , Durango"
Indé,Durango,"Indé , Durango"
San Pedro del Gallo,Durango,"San Pedro del Gallo , Durango"
Tepehuanes,Durango,"Tepehuanes , Durango"
El Oro,Durango,"El Oro , Durango"
Nazas,Durango,"Nazas , Durango"
San Luis del Cordero,Durango,"San Luis del Cordero , Durango"
Rodeo,Durango,"Rodeo , Durango"
Cuencamé,Durango,"Cuencamé , Durango"
Santa Clara,Durango,"Santa Clara , Durango"
San Juan de Guadalupe,Durango,"San Juan de Guadalupe , Durango"
General Simón Bolívar,Durango,"General Simón Bolívar , Durango"
Guanajuato,Guanajuato,"Guanajuato , Guanajuato"
Silao de la Victoria,Guanajuato,"Silao de la Victoria , Guanajuato"
Romita,Guanajuato,"Romita , Guanajuato"
San Francisco del Rincón,Guanajuato,"San Francisco del Rincón , Guanajuato"
Purísima del Rincón,Guanajuato,"Purísima del Rincón , Guanajuato"
Manuel Doblado,Guanajuato,"Manuel Doblado , Guanajuato"
Irapuato,Guanajuato,"Irapuato , Guanajuato"
Salamanca,Guanajuato,"Salamanca , Guanajuato"
Pueblo Nuevo,Guanajuato,"Pueblo Nuevo , Guanajuato"
Pénjamo,Guanajuato,"Pénjamo , Guanajuato"
Cuerámaro,Guanajuato,"Cuerámaro , Guanajuato"
Abasolo,Guanajuato,"Abasolo , Guanajuato"
Huanímaro,Guanajuato,"Huanímaro , Guanajuato"
León,Guanajuato,"León , Guanajuato"
San Felipe,Guanajuato,"San Felipe , Guanajuato"
Ocampo,Guanajuato,"Ocampo , Guanajuato"
San Miguel de Allende,Guanajuato,"San Miguel de Allende , Guanajuato"
Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato,"Dolores Hidalgo Cuna de la Independencia Nacional , Guanajuato"
San Diego de la Unión,Guanajuato,"San Diego de la Unión , Guanajuato"
San Luis de la Paz,Guanajuato,"San Luis de la Paz , Guanajuato"
Victoria,Guanajuato,"Victoria , Guanajuato"
Xichú,Guanajuato,"Xichú , Guanajuato"
Atarjea,Guanajuato,"Atarjea , Guanajuato"
Santa Catarina,Guanajuato,"Santa Catarina , Guanajuato"
Doctor Mora,Guanajuato,"Doctor Mora , Guanajuato"
Tierra Blanca,Guanajuato,"Tierra Blanca , Guanajuato"
San José Iturbide,Guanajuato,"San José Iturbide , Guanajuato"
Celaya,Guanajuato,"Celaya , Guanajuato"
Apaseo el Grande,Guanajuato,"Apaseo el Grande , Guanajuato"
Comonfort,Guanajuato,"Comonfort , Guanajuato"
Santa Cruz de Juventino Rosas,Guanajuato,"Santa Cruz de Juventino Rosas , Guanajuato"
Villagrán,Guanajuato,"Villagrán , Guanajuato"
Cortazar,Guanajuato,"Cortazar , Guanajuato"
Valle de Santiago,Guanajuato,"Valle de Santiago , Guanajuato"
Jaral del Progreso,Guanajuato,"Jaral del Progreso , Guanajuato"
Apaseo el Alto,Guanajuato,"Apaseo el Alto , Guanajuato"
Jerécuaro,Guanajuato,"Jerécuaro , Guanajuato"
Coroneo,Guanajuato,"Coroneo , Guanajuato"
Acámbaro,Guanajuato,"Acámbaro , Guanajuato"
Tarimoro,Guanajuato,"Tarimoro , Guanajuato"
Tarandacuao,Guanajuato,"Tarandacuao , Guanajuato"
Moroleón,Guanajuato,"Moroleón , Guanajuato"
Salvatierra,Guanajuato,"Salvatierra , Guanajuato"
Yuriria,Guanajuato,"Yuriria , Guanajuato"
Santiago Maravatío,Guanajuato,"Santiago Maravatío , Guanajuato"
Uriangato,Guanajuato,"Uriangato , Guanajuato"
Chilpancingo de los Bravo,Guerrero,"Chilpancingo de los Bravo , Guerrero"
General Heliodoro Castillo,Guerrero,"General Heliodoro Castillo , Guerrero"
Leonardo Bravo,Guerrero,"Leonardo Bravo , Guerrero"
Tixtla de Guerrero,Guerrero,"Tixtla de Guerrero , Guerrero"
Ayutla de los Libres,Guerrero,"Ayutla de los Libres , Guerrero"
Mochitlán,Guerrero,"Mochitlán , Guerrero"
Quechultenango,Guerrero,"Quechultenango , Guerrero"
Tecoanapa,Guerrero,"Tecoanapa , Guerrero"
Acapulco de Juárez,Guerrero,"Acapulco de Juárez , Guerrero"
Juan R. Escudero,Guerrero,"Juan R. Escudero , Guerrero"
San Marcos,Guerrero,"San Marcos , Guerrero"
Iguala de la Independencia,Guerrero,"Iguala de la Independencia , Guerrero"
Huitzuco de los Figueroa,Guerrero,"Huitzuco de los Figueroa , Guerrero"
Tepecoacuilco de Trujano,Guerrero,"Tepecoacuilco de Trujano , Guerrero"
Eduardo Neri,Guerrero,"Eduardo Neri , Guerrero"
Taxco de Alarcón,Guerrero,"Taxco de Alarcón , Guerrero"
Buenavista de Cuéllar,Guerrero,"Buenavista de Cuéllar , Guerrero"
Tetipac,Guerrero,"Tetipac , Guerrero"
Pilcaya,Guerrero,"Pilcaya , Guerrero"
Teloloapan,Guerrero,"Teloloapan , Guerrero"
Ixcateopan de Cuauhtémoc,Guerrero,"Ixcateopan de Cuauhtémoc , Guerrero"
Pedro Ascencio Alquisiras,Guerrero,"Pedro Ascencio Alquisiras , Guerrero"
General Canuto A. Neri,Guerrero,"General Canuto A. Neri , Guerrero"
Arcelia,Guerrero,"Arcelia , Guerrero"
Apaxtla,Guerrero,"Apaxtla , Guerrero"
Cuetzala del Progreso,Guerrero,"Cuetzala del Progreso , Guerrero"
Cocula,Guerrero,"Cocula , Guerrero"
Tlapehuala,Guerrero,"Tlapehuala , Guerrero"
Cutzamala de Pinzón,Guerrero,"Cutzamala de Pinzón , Guerrero"
Pungarabato,Guerrero,"Pungarabato , Guerrero"
Tlalchapa,Guerrero,"Tlalchapa , Guerrero"
Coyuca de Catalán,Guerrero,"Coyuca de Catalán , Guerrero"
Ajuchitlán del Progreso,Guerrero,"Ajuchitlán del Progreso , Guerrero"
Zirándaro,Guerrero,"Zirándaro , Guerrero"
San Miguel Totolapan,Guerrero,"San Miguel Totolapan , Guerrero"
La Unión de Isidoro Montes de Oca,Guerrero,"La Unión de Isidoro Montes de Oca , Guerrero"
Petatlán,Guerrero,"Petatlán , Guerrero"
Coahuayutla de José María Izazaga,Guerrero,"Coahuayutla de José María Izazaga , Guerrero"
Zihuatanejo de Azueta,Guerrero,"Zihuatanejo de Azueta , Guerrero"
Técpan de Galeana,Guerrero,"Técpan de Galeana , Guerrero"
Atoyac de Álvarez,Guerrero,"Atoyac de Álvarez , Guerrero"
Benito Juárez,Guerrero,"Benito Juárez , Guerrero"
Coyuca de Benítez,Guerrero,"Coyuca de Benítez , Guerrero"
Olinalá,Guerrero,"Olinalá , Guerrero"
Atenango del Río,Guerrero,"Atenango del Río , Guerrero"
Copalillo,Guerrero,"Copalillo , Guerrero"
Cualác,Guerrero,"Cualác , Guerrero"
Chilapa de Álvarez,Guerrero,"Chilapa de Álvarez , Guerrero"
José Joaquín de Herrera,Guerrero,"José Joaquín de Herrera , Guerrero"
Ahuacuotzingo,Guerrero,"Ahuacuotzingo , Guerrero"
Zitlala,Guerrero,"Zitlala , Guerrero"
Mártir de Cuilapan,Guerrero,"Mártir de Cuilapan , Guerrero"
Huamuxtitlán,Guerrero,"Huamuxtitlán , Guerrero"
Xochihuehuetlán,Guerrero,"Xochihuehuetlán , Guerrero"
Alpoyeca,Guerrero,"Alpoyeca , Guerrero"
Tlapa de Comonfort,Guerrero,"Tlapa de Comonfort , Guerrero"
Tlalixtaquilla de Maldonado,Guerrero,"Tlalixtaquilla de Maldonado , Guerrero"
Xalpatláhuac,Guerrero,"Xalpatláhuac , Guerrero"
Zapotitlán Tablas,Guerrero,"Zapotitlán Tablas , Guerrero"
Acatepec,Guerrero,"Acatepec , Guerrero"
Atlixtac,Guerrero,"Atlixtac , Guerrero"
Copanatoyac,Guerrero,"Copanatoyac , Guerrero"
Malinaltepec,Guerrero,"Malinaltepec , Guerrero"
Iliatenco,Guerrero,"Iliatenco , Guerrero"
Tlacoapa,Guerrero,"Tlacoapa , Guerrero"
Atlamajalcingo del Monte,Guerrero,"Atlamajalcingo del Monte , Guerrero"
San Luis Acatlán,Guerrero,"San Luis Acatlán , Guerrero"
Metlatónoc,Guerrero,"Metlatónoc , Guerrero"
Cochoapa el Grande,Guerrero,"Cochoapa el Grande , Guerrero"
Alcozauca de Guerrero,Guerrero,"Alcozauca de Guerrero , Guerrero"
Ometepec,Guerrero,"Ometepec , Guerrero"
Tlacoachistlahuaca,Guerrero,"Tlacoachistlahuaca , Guerrero"
Xochistlahuaca,Guerrero,"Xochistlahuaca , Guerrero"
Florencio Villarreal,Guerrero,"Florencio Villarreal , Guerrero"
Cuautepec,Guerrero,"Cuautepec , Guerrero"
